InvcNum,DueDate,ShipToName
1020-2,10/3/2017,"Cummings Resources, LLC / 7-11 #7112141"
1023-3,10/15/2017,"Cummings Resources, LLC / 7/11 #35766"
1030-1,10/8/2017,"Cummings Resources, LLC / 7-11 #26801"
1036-3,10/23/2017,Pattison Sign Group (Toronto) / Auto Nation Toyota
1085,11/15/2017,"Custom Sign Center, Inc. / Wendy's #01778"
1085-1,10/18/2017,"Custom Sign Center, Inc. / Wendy's #01778"
1094-2,10/10/2017,Walton Signage / Toys R Us
1100,9/29/2017,First Communities/The Adelaide
1118-4,10/3/2017,BHSSA Capital Campaing
1129,10/15/2017,BMA/DD's Discounts #5130
1133-1,10/26/2017,Principle Global / Cricket Wireless
1133-2,11/1/2017,Principle Global / Cricket Wireless
1135,10/13/2017,MC/T-Mobile
1146-1,10/13/2017,BMA/Dd's Discounts #5065
1155,9/29/2017,Custom Sign Center / Wendy's #08847
1155-1,9/29/2017,Custom Sign Center / Wendy's #08847
1157,11/3/2017,Pattison Sign Group (Toronto) / Auto Nation Toyota
1157-1,10/20/2017,Autonation Toyota
1172,10/2/2017,Pattison Sign Group / Toyota of Deland
1173,10/27/2017,Bill Moore & Assoc. / ROSS #0514
1175,10/2/2017,"Custom Sign Center, Inc / Simply Self Storage"
