InvcNum,DueDate,ShipToName
1020-2,11/16/2017,"Cummings Resources, LLC / 7-11 #7112141"
1021-4,11/20/2017,MC/
1023-3,11/15/2017,"Cummings Resources, LLC / 7/11 #35766"
1030-1,11/9/2017,"Cummings Resources, LLC / 7-11 #26801"
1036,12/8/2017,Pattison Sign Group (Toronto) / Auto Nation Toyota
1036-3,10/23/2017,Pattison Sign Group (Toronto) / Auto Nation Toyota
1085,11/15/2017,"Custom Sign Center, Inc. / Wendy's #01778"
1085-1,10/31/2017,"Custom Sign Center, Inc. / Wendy's #01778"
1118-5,11/9/2017,BHSSA Capital Campaing
1129-1,11/15/2017,ROSS Stores Inc c/o Bill Moore & Associates
1133-2,11/22/2017,Principle Global / Cricket Wireless
1135,10/31/2017,MC/T-Mobile
1146,11/16/2017,ROSS Stores Inc c/o Bill Moore & Associates
1146-1,10/19/2017,ROSS Stores Inc c/o Bill Moore & Associates
1148-4,11/1/2017,Egan Sign / Famous Footwear #3580
1148-5,11/28/2017,Egan Sign / Famous Footwear #3580
1154,2/15/2018,Persona / Holiday Inn Express
1155,11/8/2017,Custom Sign Center / Wendy's #08847
1155-1,11/13/2017,Custom Sign Center / Wendy's #08847
1157-1,10/27/2017,Autonation Toyota
1164,11/1/2017,First Communities/The Lory of Braden Spirngs
1172-1,10/20/2017,Pattison Sign Group / Toyota of Deland
1173,10/27/2017,ROSS Stores Inc c/o Bill Moore & Associates
1184,10/25/2017,First Communities/The Adelaide
1189-1,11/6/2017,Custom Sign Center / Wendy's #11932
1191,11/9/2017,MC/
1193-1,11/10/2017,Custom Sign Center / Wendy's #01762
1195,10/26/2017,Sign-Age / Coldwell Banker
1201,1/3/2018,Archer Sign / Bar Louie
1201-1,11/27/2017,Archer Sign / Bar Louie
1206,11/29/2017,ROSS Stores Inc c/o Bill Moore & Associates
1209,11/20/2017,TDI Signs / Beachworks Outlet
1209-1,11/18/2017,TDI Signs / Beachworks Outlet
1210,10/25/2017,SouthWater Signs / Sears1285
1211,11/30/2017,ROSS #0271
