InvcNum,DueDate,ShipToName
100580,10/12/2017,"The Laurels of Pender - Burgaw, NC"
100798-1,11/8/2017,"WEN #11898 Miami, FL"
100870,10/31/2017,"WEN#11682 - Randolph Twp, NJ"
101374,10/27/2017,"The Courtyards at Bradford Court - Powell, OH"
101548,10/2/2017,"CRB Holdings, Inc"
101652S,10/3/2017,"Courtyards Hidden Ravines N. - Lewis Center, OH"
101711-1,10/2/2017,"Kenny Rd Family Dental - Columbus, OH"
101881,11/17/2017,"WEN #01778  Orange Park, FL"
101881-1,11/17/2017,"WEN #01778  Orange Park, FL"
101881-2,11/17/2017,"WEN #01778  Orange Park, FL"
101948-1,10/12/2017,Wendy's Site #11961
102016,11/17/2017,"WEN #12029 Streetsboro, OH"
102253,10/16/2017,Boyer/Smy The Property Advisors
102275,10/4/2017,Extend a Suites
102327,10/30/2017,"WEN #04357  St. George, UT"
102367,10/19/2017,Yauger Monument
102404S,10/4/2017,"Tectum Inc. Armstrond Ind. - Newark, OH"
102443,10/20/2017,Wendy's Site #02515
102443-1,10/20/2017,"WEN #02515  Lake Ronkonkoma, NY"
102476,10/6/2017,"WEN #04713 Cutlerville, MI"
102481,10/27/2017,"Manna Inc./WEN 00935 Racine, WI"
102481-1,10/27/2017,"Manna Inc./ WEN 00935 Racine, WI"
102484,11/6/2017,"WEN #09583 / Lumberton, NC"
102504,10/25/2017,Ted's Construction
102626,9/29/2017,"WEN #06830 Wetaskiwin, AB"
102668,11/2/2017,Wendy's Site #06487
102690,10/31/2017,"Tim Horton's #916653 - Troy, OH"
102691,10/21/2017,"Food Court - WEN Gainesville, FL"
102714,11/10/2017,"WEN #00815 Vernon Hills, IL"
102714-1,11/10/2017,"WEN #00815 Vernon Hills, IL"
102720,11/1/2017,Grandview's Edge
102799,10/13/2017,Bryan Harrison
102815,10/7/2017,"CVS #2665 Crown Point, IN"
102870,10/6/2017,Boyer/Bay Dental Bay Village OH
102888,10/14/2017,"Simply Self Storage -  Chickasha, OK"
102891,10/14/2017,"Simply Self Storage - Oklahoma City, OK"
102913,10/2/2017,"CVS #4209 Augusta, GA"
102917,10/11/2017,Pataskala Town Center
102919-2,11/1/2017,"WEN #03794  Merced, CA"
102923,10/10/2017,Pataskala Town Center
102926,10/13/2017,"WEN 08375 Indianapolis, IN"
102927,10/11/2017,"WEN #04068  Alma, MI"
102950,9/29/2017,The Courtyards on Hoover
102971,10/21/2017,REAL ESTATE SIGNS & SERV
102978,10/3/2017,CVS Store #2248
103013,9/29/2017,"WEN #04209  Decatur, IN"
103014,11/3/2017,"WEN #04684 Cornelius, NC"
103015,10/5/2017,"WEN #08847  Palm Beach Gardens, FL"
103025,10/11/2017,"Starboard Wen 07393 Oxford, AL"
103048-1,11/17/2017,"WEN #11932 Kissimmee, FL"
103048-2,11/17/2017,Wendy's
103060,10/5/2017,Professional Truck Washing Services
103064,9/29/2017,Boyer/Lantern of Saybrook
103068,11/10/2017,"WEN #06882  Edmonton, AB"
103076,10/6/2017,"WEN #06723  Amherst, NS"
103079,10/9/2017,Flyers Pizza
103088,10/3/2017,"WEN#09178  Canton, MI"
103089,10/3/2017,"WEN #09192  Ypsilanti, MI"
103090,9/29/2017,"Wenzona Foods/ Wendys 10817/Riverton, WY"
103098,10/4/2017,Johnson Sign
103099,10/11/2017,"Wasserstrom Company Columbus, OH"
103114,10/12/2017,Norm Stanek
103119,10/12/2017,East Columbus Oral Surgery Specialists
103122,10/4/2017,Wendy's Site #02167
103130,9/29/2017,"WEN #11773 Portsmouth, VA"
103133,10/16/2017,"Tim Hortons #3531 Warren, PA"
103134,10/9/2017,"TH#7920 Savage, MN"
103135,10/6/2017,"WEN #03958  Muncie, IN"
103139,10/13/2017,Extend a Suites
103140,10/13/2017,Extend a Suites
103163,10/17/2017,Barney Enterprises
103165,10/16/2017,"WEN #11993  Queen Creek, AZ"
103166,10/16/2017,"WEN #12080  Apache Junction, AZ"
103167,10/18/2017,Local Cantina
103171,11/10/2017,"WEN #06785 Vaudreuil-Dorion, QC"
103173,10/12/2017,Best Lighting Products
103176-1,10/9/2017,Christopher Construction/ Diamonds Icecream
103177,10/19/2017,"WEN #06397 Mississauga, ON"
103193,10/13/2017,"WEN #12042 Bronx, NY"
103195,10/20/2017,"The Laurels of Chagrin Falls, OH"
103197,10/11/2017,"WEN 07810 Hamilton, NJ"
103198,10/27/2017,"Wendy's 02689 New York, NY"
103199,10/20/2017,"Wendy's 08232 New York, NY"
103200,10/23/2017,"WEN #09768  Canton, GA"
103201,10/6/2017,"WEN #05117  Horn Lake, MS"
103208,10/6/2017,STANTEC
103210,10/20/2017,Iguanas Fresh Mexican Grill
103225,10/25/2017,"CVS #2171 Millbury, MA"
103226,10/25/2017,"Kuhns Group Inc/WEN 05803 Belle Vernon, PA"
103227,10/26/2017,Two for the Dough DBA Tim Hortons
103228,11/20/2017,Mad Greek(The)
103233,10/21/2017,Granby Elementary School
103234,10/26/2017,Kiddie Academy of Oceanside
103235,10/31/2017,Pfefferle Management
103236,10/25/2017,Lancaster Ridge Apartments
103241,10/26/2017,"WEN #04971  St. Marys, PA"
103243,10/26/2017,"WEN #06862  Edmonton, AB"
103244,10/27/2017,"WEN 00234 Louisville, KY"
103244-1,10/13/2017,"WEN #00234 Louisville, KY"
103251,9/29/2017,"Simply Self Storage Melbourne, FL"
103256,11/21/2017,CVS Store #4295
103257,11/21/2017,"CVS #7556 West Columbia, SC"
103258,10/31/2017,Appletree The Preserve
103263,10/27/2017,Regal Awards
103268,10/2/2017,"Genpak, LLC"
103272,10/6/2017,"AllStarSignShop/WO 99399-IndianTrail,NC"
103273,10/20/2017,"WEN #02841  Danville, IL"
103275,9/29/2017,Rise Realty
103276,10/17/2017,Compass Homes
103280,11/25/2017,Aim Realty Advisors
103284,10/10/2017,Outdoor/BHSSA- Orlando
103284-1,11/1/2017,Outdoor/BHSSA- Orlando
103284-2,11/1/2017,Outdoor/BHSSA- Orlando
103284-3,11/1/2017,Outdoor/BHSSA- Orlando
103293,10/4/2017,The Lane
103295,10/30/2017,Duke Manufacturing
103305,10/27/2017,"WEN #05421  Dover, OH"
103306,10/4/2017,Hampton Inn & Suites-Independence OH
103309,11/2/2017,Wendy's Site #11845
103312,10/5/2017,The Harrison Co. Real Estate Group
103313,10/4/2017,Debbie Bower
103315,10/5/2017,Casto Residential Realty
89338-1,11/2/2017,"Rival Electric, Inc. WEN #07858 Miami, FL"
96069,10/4/2017,"Wendy's Site #11718 - Smyrna, GA"
99077-1,10/2/2017,"WEN#00504  Derby, CT"
99642,10/6/2017,"Extend a Suites Columbus, OH"
99666,10/31/2017,"Palazzo Nail & Spa Lancaster,OH"
