InvcNum,DueDate,ShipToName
383,12/31/2017,"Parma Plaza/Parma, OH"
503,11/1/2017,"Steak N Shake/Ashtabula, OH"
626,11/27/2017,"Lantern Of Chagrin Valley/Chagrin Falls, OH"
629,10/6/2017,"TS Pearl Partners,LLC"
630,10/31/2017,Visiting Angels
631,10/20/2017,Cooper's Twist & Shake
632,12/6/2017,"Great Scott Tavern Euclid, OH"
633,10/6/2017,Burnett Plaza
635,11/27/2017,HWH Architects
637,10/27/2017,Target Auto Service
637-0,11/2/2017,Benderson Dvlp./Brook Ridge
638,10/19/2017,Colliers International
