InvcNum,DueDate,ShipToName
103563,12/4/2017,Boyer Signs /HWH Architects
103565,11/28/2017,"Wendy's Site #05198 Deposit, NY"
103566,11/28/2017,ANTHONY
103567,11/28/2017,"WEN #00842 Bradenton, FL"
103568,12/30/2017,Dave Pardi
103569,11/3/2017,Diane Rapier
103570,11/21/2017,Greek Express
103571,11/28/2017,"WEN #07529  Belle Glade, FL"
103572,11/28/2017,"WEN #07661  Clewiston, FL"
103575,2/19/2018,Wendy's Site #01184 Store #92
103575-1,2/19/2018,Wendy's Site #01184 Store #92
103576,11/22/2017,Qualified Builders
103578,11/6/2017,"WEN #08767 Louisville, KY"
103579,11/10/2017,Wendy's Site #09178
103581,12/6/2017,"CVS #0362 Sewell, NJ"
103582,11/9/2017,Wendy's Site #09590
103585,11/29/2017,Minelli's Pizza
103586,12/13/2017,"WEN #00851  Columbus, OH"
103587,11/3/2017,West Jefferson Township
103589,11/7/2017,Office Depot
103590,11/30/2017,"WEN #00351 Ferndale, MI"
103591,11/26/2017,"Kiddie Academy of Apopka, FL"
103592,12/8/2017,Lancaster Ridge Apartments
103593,12/8/2017,"Wendy's 08564 Lehigh Acres, FL"
103595,11/8/2017,Barrett Home Renovations
103596,12/7/2017,"WEN #08565  Estero, FL"
103597,12/7/2017,"WEN #01195  Sarasota, FL"
103598,11/23/2017,"Persona WEN #12028 Sandy, OR"
103599,11/30/2017,The Sign Clinic
103602,12/4/2017,Wendy's Site #07865
103604,11/13/2017,Southwest Public Library
103605,11/17/2017,"WEN #02797  Grand Rapids, MI"
103606,11/27/2017,Norm Stanek
103607,12/8/2017,"Tim Horton's 104655 Sherwood Park, AB"
103609,11/10/2017,Turn-Key Industrial Services LLC
103610,12/1/2017,"Wasserstrom Company Columbus, OH"
103612,12/19/2017,Simply Self Storage
103613,12/22/2017,Simply Self Storage
103614,11/8/2017,Grove City Garage Door Co
103615,11/9/2017,AR Building Company
103617,11/24/2017,Courtryards at Pepper Creek
103618,11/8/2017,KELLER WILLIAMS CAPITAL PARTNERS
103619,11/10/2017,"Walmart Stores, Inc."
103620,12/3/2017,Treasure & Associates Real Estate
103621,11/10/2017,Epcon Communities Charlottle Office
88664-1,11/6/2017,"Rival Electric, Inc. WEN #01712 Miami, FL"
89338-1,11/2/2017,"Rival Electric, Inc. WEN #07858 Miami, FL"
96976,11/10/2017,"Red Roof Inn, Inc."
97651-1,11/21/2017,"WEN #00849  Naples, FL"
99406-1,11/16/2017,"WEN #00866  Ft. Myers, FL"
99642,11/3/2017,"Extend a Suites Columbus, OH"
