InvcNum,DueDate,ShipToName
100319,9/25/2017,SUPERCUTS
100870,10/31/2017,"WEN#11682 - Randolph Twp, NJ"
101374,10/27/2017,"The Courtyards at Bradford Court - Powell, OH"
101548,10/2/2017,"CRB Holdings, Inc"
101711-1,10/2/2017,"Kenny Rd Family Dental - Columbus, OH"
102156-1,9/25/2017,"WEN #11892 Springfield, OH"
102202-1,9/28/2017,"D.P. Murphy (Quebec) Inc. -Longueuil, Quebec"
102253,10/16/2017,"Boyer/Smy The Property Advisors - Columbus, OH"
102275,10/4/2017,Extend a Suites
102327,10/30/2017,"WEN #04357  St. George, UT"
102367,10/19/2017,Yauger Monument
102422,10/27/2017,"WEN #11635  Deerfield Bch, FL"
102443,10/20/2017,Wendy's Site #02515
102443-1,10/20/2017,"WEN #02515  Lake Ronkonkoma, NY"
102476,10/6/2017,"WEN #04713 Cutlerville, MI"
102481,10/27/2017,"Manna Inc./WEN 00935 Racine, WI"
102481-1,10/27/2017,"Manna Inc./ WEN 00935 Racine, WI"
102504,10/25/2017,Ted's Construction
102626,9/29/2017,"WEN #06830 Wetaskiwin, AB"
102668,10/20/2017,Wendy's Site #06487
102690,10/31/2017,"Tim Horton's #916653 - Troy, OH"
102691,10/21/2017,"Food Court - WEN Gainesville, FL"
102714,10/2/2017,"WEN #00815 Vernon Hills, IL"
102720,10/11/2017,Grandview's Edge
102799,10/13/2017,Bryan Harrison
102815,10/7/2017,"CVS #2665 Crown Point, IN"
102870,10/6/2017,Boyer/Bay Dental Bay Village OH
102873,9/25/2017,Marion/Whispering Pines Ocala
102888,10/14/2017,"Simply Self Storage -  Chickasha, OK"
102891,10/14/2017,"Simply Self Storage - Oklahoma City, OK"
102913,10/2/2017,"CVS #4209 Augusta, GA"
102917,10/11/2017,Pataskala Town Center
102923,9/25/2017,Pataskala Town Center
102924,9/26/2017,"WEN #06309 Etobicoke, ON"
102926,10/13/2017,"WEN 08375 Indianapolis, IN"
102927,10/11/2017,"WEN #04068  Alma, MI"
102950,9/29/2017,The Courtyards on Hoover
102951,10/14/2017,Courtyards at Grandshire
102957,9/28/2017,"TH #916640 Buffalo, NY"
102971,10/21/2017,REAL ESTATE SIGNS & SERV
102978,10/3/2017,CVS Store #2248
103013,9/29/2017,"WEN #04209  Decatur, IN"
103014,10/27/2017,"WEN #04684 Cornelius, NC"
103015,10/5/2017,"WEN #08847  Palm Beach Gardens, FL"
103025,9/29/2017,"Starboard Wen 07393 Oxford, AL"
103045,9/27/2017,"WEN #01922  Gainesville, FL"
103047,9/27/2017,"WEN #06736  Mount Pearl, NF"
103060,10/5/2017,Professional Truck Washing Services
103064,9/29/2017,Boyer/Lantern of Saybrook
103067,9/25/2017,Simply Self Storage
103069,9/25/2017,Simply Self Storage
103070,9/25/2017,Simply Self Storage
103071,9/25/2017,Simply Self Storage
103076,10/6/2017,"WEN #06723  Amherst, NS"
103079,10/9/2017,Flyers Pizza
103088,10/3/2017,"WEN#09178  Canton, MI"
103089,10/3/2017,"WEN #09192  Ypsilanti, MI"
103090,9/29/2017,"Wenzona Foods/ Wendys 10817/Riverton, WY"
103098,10/4/2017,Johnson Sign
103099,10/11/2017,"Wasserstrom Company Columbus, OH"
103114,10/12/2017,Norm Stanek
103117,10/23/2017,"WEN #03177  Northport, AL"
103119,10/12/2017,East Columbus Oral Surgery Specialists
103122,10/4/2017,Wendy's Site #02167
103130,9/29/2017,"WEN #11773 Portsmouth, VA"
103133,10/16/2017,"Tim Hortons #3531 Warren, PA"
103134,10/9/2017,"TH#7920 Savage, MN"
103135,10/6/2017,"WEN #03958  Muncie, IN"
103139,10/13/2017,Extend a Suites
103140,10/13/2017,Extend a Suites
103141,10/6/2017,"WEN #10470  High Ridge, MO"
103151,9/29/2017,Friendship Food Mart Valero
103160,9/26/2017,Best Service Heating & Cooling
103163,10/17/2017,Barney Enterprises
103165,10/16/2017,"WEN #11993  Queen Creek, AZ"
103166,10/16/2017,"WEN #12080  Apache Junction, AZ"
103167,10/18/2017,Local Cantina
103173,10/12/2017,Best Lighting Products
103176,10/18/2017,Diamonds Ice Cream/Tomatillos
103177,10/19/2017,"WEN #06397 Mississauga, ON"
103193,10/13/2017,"WEN #12042 Bronx, NY"
103195,10/20/2017,"The Laurels of Chagrin Falls, OH"
103197,10/11/2017,"WEN 07810 Hamilton, NJ"
103198,10/20/2017,"Wendy's 02689 New York, NY"
103199,10/20/2017,"Wendy's 08232 New York, NY"
103200,10/23/2017,"WEN #09768  Canton, GA"
103206,10/6/2017,Amy Karnes
103208,10/6/2017,STANTEC
103210,10/20/2017,Iguanas Fresh Mexican Grill
103211,9/26/2017,Courtyards at Muirfield Ridge
103215,9/28/2017,Los Primos Mexican Tacos
103222,9/25/2017,Sarah Angley
103225,10/25/2017,"CVS #2171 Millbury, MA"
103226,10/25/2017,"Kuhns Group Inc/WEN 05803 Belle Vernon, PA"
103227,10/26/2017,Two for the Dough DBA Tim Hortons
103230,9/28/2017,KELLER WILLIAMS CAPITAL PARTNERS
103231,9/27/2017,John Tetzloff
103232,9/28/2017,Wash Works
103233,10/21/2017,Granby Elementary School
103234,10/26/2017,Kiddie Academy of Oceanside
103235,10/31/2017,Pfefferle Management
103236,10/25/2017,Lancaster Ridge Apartments
103238,9/25/2017,The Courtyards at Bradford Court
103241,10/26/2017,"WEN #04971  St. Marys, PA"
103242,9/27/2017,Hibachi Express
103243,10/26/2017,"WEN #06862  Edmonton, AB"
103244,10/27/2017,"WEN 00234 Louisville, KY"
103244-1,10/13/2017,WEN 00234
103245,9/28/2017,KOHR ROYER GRIFFITH
103248,9/29/2017,KELLER WILLIAMS CLASSIC PROPERTIES
103250,9/26/2017,Silcott Suites
103251,9/29/2017,"Simply Self Storage Melbourne, FL"
103252,9/27/2017,Shawn Barral
103254,10/9/2017,Christopher Construction/ Diamonds Icecream
103261,9/28/2017,Rosati Windows
103262,9/27/2017,"VIP Realty, Inc."
103263,10/27/2017,Regal Awards
103265,9/26/2017,Iguanas Fresh Mexican Grill
103267,9/28/2017,Rise Realty
96069,10/4/2017,"Wendy's Site #11718 - Smyrna, GA"
99077-1,10/2/2017,"WEN#00504  Derby, CT"
99666,10/31/2017,"Palazzo Nail & Spa Lancaster,OH"
